fundCode,fundName,setupDate,issueDate,wrtOffDate,isinitial,fundCorp,ivstTypeCode,ivstTypeInDt,ivstTypeExDt,fundType,typeInDt,typeExDt,frstIvstType,scndIvstType
000001.OF,华夏成长,20011218,20011128,,1,华夏基金,2.00E+15,20011218,,开放式,20011218,,混合型基金,偏股混合型基金
000003.OF,中海可转换债券A,20130320,20130225,,1,中海基金,2.00E+15,20130320,,开放式,20130320,,债券型基金,混合债券型二级基金
000004.OF,中海可转换债券C,20130320,20130225,,0,中海基金,2.00E+15,20130320,,开放式,20130320,,债券型基金,混合债券型二级基金
000005.OF,嘉实增强信用,20130308,20130218,,1,嘉实基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000006.OF,西部利得量化成长,20190319,20190215,,1,西部利得基金,2.00E+15,20190319,,开放式,20190319,,混合型基金,偏股混合型基金
000007.OF,鹏华国有企业债,20130308,20130204,20180807,1,鹏华基金,2.00E+15,20130308,20180807,开放式,20130308,20180807,债券型基金,混合债券型二级基金
000008.OF,嘉实中证500ETF联接A,20130322,20130221,,1,嘉实基金,2.00E+15,20130322,,开放式,20130322,,股票型基金,被动指数型基金
000009.OF,易方达天天A,20130304,20130221,,1,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000010.OF,易方达天天B,20130304,20130221,,0,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000011.OF,华夏大盘精选,20040811,20040706,,1,华夏基金,2.00E+15,20040811,,开放式,20040811,,混合型基金,偏股混合型基金
000013.OF,易方达天天R,20130304,20130221,,0,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000014.OF,华夏聚利,20130319,20130225,,1,华夏基金,2.00E+15,20130319,,开放式,20130319,,债券型基金,混合债券型一级基金
000015.OF,华夏纯债A,20130308,20130221,,1,华夏基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000016.OF,华夏纯债C,20130308,20130221,,0,华夏基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000017.OF,财通可持续发展主题,20130327,20130225,,1,财通基金,2.00E+15,20140105,,开放式,20130327,,混合型基金,偏股混合型基金
000017.OF,财通可持续发展主题,20130327,20130225,,1,财通基金,2.00E+15,20130327,20140104,开放式,20130327,,股票型基金,普通股票型基金
000020.OF,景顺长城品质投资,20130319,20130225,,1,景顺长城基金,2.00E+15,20150807,,开放式,20130319,,混合型基金,偏股混合型基金
000020.OF,景顺长城品质投资,20130319,20130225,,1,景顺长城基金,2.00E+15,20130319,20150806,开放式,20130319,,股票型基金,普通股票型基金
000021.OF,华夏优势增长,20061124,20061120,,1,华夏基金,2.00E+15,20061124,20150714,开放式,20061124,,股票型基金,普通股票型基金
000021.OF,华夏优势增长,20061124,20061120,,1,华夏基金,2.00E+15,20150715,,开放式,20061124,,混合型基金,偏股混合型基金
000022.OF,南方中债中期票据A,20130503,20130401,20180425,1,南方基金,2.00E+15,20130503,20180425,开放式,20130503,20180425,债券型基金,被动指数型债券基金
000023.OF,南方中债中期票据C,20130503,20130401,20180425,0,南方基金,2.00E+15,20130503,20180425,开放式,20130503,20180425,债券型基金,被动指数型债券基金
000024.OF,大摩双利增强A,20130326,20130227,,1,摩根士丹利华鑫基金,2.00E+15,20130326,,开放式,20130326,,债券型基金,中长期纯债型基金
000025.OF,大摩双利增强C,20130326,20130227,,0,摩根士丹利华鑫基金,2.00E+15,20130326,,开放式,20130326,,债券型基金,中长期纯债型基金
000026.OF,泰达宏利信用合利A,20130319,20130225,20180809,1,泰达宏利基金,2.00E+15,20130319,20180809,开放式,20130319,20180809,债券型基金,中长期纯债型基金
000027.OF,泰达宏利信用合利B,20130319,20130225,20180809,0,泰达宏利基金,2.00E+15,20130319,20180809,开放式,20130319,20180809,债券型基金,中长期纯债型基金
000028.OF,华富安鑫,20130424,20130318,,1,华富基金,2.00E+15,20190612,,开放式,20130424,,债券型基金,混合债券型二级基金
000028.OF,华富安鑫,20130424,20130318,,1,华富基金,2.00E+15,20130424,20190611,开放式,20130424,,混合型基金,偏债混合型基金
000029.OF,富国宏观策略,20130412,20130311,,1,富国基金,2.00E+15,20130412,,开放式,20130412,,混合型基金,灵活配置型基金
000030.OF,长城核心优选,20130418,20130318,,1,长城基金,2.00E+15,20190524,,开放式,20130418,,混合型基金,灵活配置型基金
000030.OF,长城核心优选,20130418,20130318,,1,长城基金,2.00E+15,20130418,20190523,开放式,20130418,,混合型基金,偏债混合型基金
000031.OF,华夏复兴,20070910,20070905,,1,华夏基金,2.00E+15,20070910,20150714,开放式,20070910,,股票型基金,普通股票型基金
000031.OF,华夏复兴,20070910,20070905,,1,华夏基金,2.00E+15,20150715,,开放式,20070910,,混合型基金,偏股混合型基金
000032.OF,易方达信用债A,20130424,20130326,,1,易方达基金,2.00E+15,20130424,,开放式,20130424,,债券型基金,中长期纯债型基金
000033.OF,易方达信用债C,20130424,20130326,,0,易方达基金,2.00E+15,20130424,,开放式,20130424,,债券型基金,中长期纯债型基金
000037!1.OF,广发理财7天A,20130620,20130613,20200421,1,广发基金,2.00E+15,20130620,20200421,开放式,20130620,20200421,货币市场型基金,货币市场型基金
000037.OF,广发景宁纯债,20200422,20200422,,1,广发基金,2.00E+15,20200422,,开放式,20200422,,债券型基金,中长期纯债型基金
000038.OF,广发理财7天B,20130620,20130613,20200421,0,广发基金,2.00E+15,20130620,20200421,开放式,20130620,20200421,货币市场型基金,货币市场型基金
000039.OF,农银汇理低估值高增长,20130326,20130304,,1,农银汇理基金,2.00E+15,20150807,,开放式,20130326,,混合型基金,偏股混合型基金
000039.OF,农银汇理低估值高增长,20130326,20130304,,1,农银汇理基金,2.00E+15,20130326,20150806,开放式,20130326,,股票型基金,普通股票型基金
000041.OF,华夏全球精选,20071009,20070927,,1,华夏基金,2.00E+15,20071009,,开放式,20071009,,国际(QDII)基金,国际(QDII)股票型基金
000042.OF,财通中证100指数增强A,20130322,20130219,,1,财通基金,2.00E+15,20130322,,开放式,20130322,,股票型基金,增强指数型基金
000043.OF,嘉实美国成长人民币,20130614,20130508,,1,嘉实基金,2.00E+15,20130614,,开放式,20130614,,国际(QDII)基金,国际(QDII)股票型基金
000044.OF,嘉实美国成长美元现汇,20130614,20130508,,0,嘉实基金,2.00E+15,20130614,,开放式,20130614,,国际(QDII)基金,国际(QDII)股票型基金
000045.OF,工银瑞信产业债A,20130329,20130225,,1,工银瑞信基金,2.00E+15,20130329,,开放式,20130329,,债券型基金,混合债券型二级基金
000046.OF,工银瑞信产业债B,20130329,20130225,,0,工银瑞信基金,2.00E+15,20130329,,开放式,20130329,,债券型基金,混合债券型二级基金
000047.OF,华夏双债增强A,20130314,20130306,,1,华夏基金,2.00E+15,20130314,,开放式,20130314,,债券型基金,混合债券型一级基金
000048.OF,华夏双债增强C,20130314,20130306,,0,华夏基金,2.00E+15,20130314,,开放式,20130314,,债券型基金,混合债券型一级基金
000049.OF,中银标普全球精选,20130319,20130225,,1,中银基金,2.00E+15,20130319,,开放式,20130319,,国际(QDII)基金,国际(QDII)股票型基金
000050.OF,长盛纯债A,20130313,20130225,20180517,1,长盛基金,2.00E+15,20130313,20180517,开放式,20130313,20180517,债券型基金,中长期纯债型基金
000051.OF,华夏沪深300ETF联接A,20090710,20090706,,1,华夏基金,2.00E+15,20090710,,开放式,20090710,,股票型基金,被动指数型基金
000052.OF,长盛纯债C,20130313,20130225,20180517,0,长盛基金,2.00E+15,20130313,20180517,开放式,20130313,20180517,债券型基金,中长期纯债型基金
000053.OF,鹏华永诚一年定开,20130503,20130401,,1,鹏华基金,2.00E+15,20130503,,开放式,20130503,,债券型基金,中长期纯债型基金
000054.OF,鹏华双债增利,20130313,20130304,,1,鹏华基金,2.00E+15,20130313,,开放式,20130313,,债券型基金,混合债券型二级基金
000055.OF,广发纳斯达克100指数A美元(QDII),20150116,,,0,广发基金,2.00E+15,20150116,,开放式,20150116,,国际(QDII)基金,国际(QDII)股票型基金
000056.OF,建信消费升级,20130614,20130515,,1,建信基金,2.00E+15,20130614,,开放式,20130614,,混合型基金,偏股混合型基金
000057.OF,中银消费主题,20130425,20130401,,1,中银基金,2.00E+15,20150807,,开放式,20130425,,混合型基金,偏股混合型基金
000057.OF,中银消费主题,20130425,20130401,,1,中银基金,2.00E+15,20130425,20150806,开放式,20130425,,股票型基金,普通股票型基金
000058.OF,国联安安泰灵活配置,20130423,20130322,,1,国联安基金,2.00E+15,20190605,,开放式,20130423,,混合型基金,灵活配置型基金
000058.OF,国联安安泰灵活配置,20130423,20130322,,1,国联安基金,2.00E+15,20130423,20190604,开放式,20130423,,混合型基金,偏债混合型基金
000059.OF,国联安中证医药100A,20130821,20130722,,1,国联安基金,2.00E+15,20130821,,开放式,20130821,,股票型基金,被动指数型基金
000060.OF,国联安中证股债动态,20130626,20130527,20170328,1,国联安基金,2.00E+15,20130626,20170328,开放式,20130626,20170328,混合型基金,灵活配置型基金
000061.OF,华夏盛世精选,20091211,20091209,,1,华夏基金,2.00E+15,20091211,20150714,开放式,20091211,,股票型基金,普通股票型基金
000061.OF,华夏盛世精选,20091211,20091209,,1,华夏基金,2.00E+15,20150715,,开放式,20091211,,混合型基金,偏股混合型基金
000062.OF,银华量化智慧动力,20130522,20130410,20180927,1,银华基金,2.00E+15,20160425,20180927,开放式,20130522,20180927,混合型基金,灵活配置型基金
000062.OF,银华量化智慧动力,20130522,20130410,20180927,1,银华基金,2.00E+15,20130522,20160424,开放式,20130522,20180927,混合型基金,偏债混合型基金
000063.OF,长盛电子信息主题,20130510,20130403,,1,长盛基金,2.00E+15,20140703,,开放式,20130510,,混合型基金,灵活配置型基金
000063.OF,长盛电子信息主题,20130510,20130403,,1,长盛基金,2.00E+15,20130510,20140702,开放式,20130510,,股票型基金,被动指数型基金
000064.OF,大摩纯债稳定增利,20130625,20130527,,1,摩根士丹利华鑫基金,2.00E+15,20130625,,开放式,20130625,,债券型基金,中长期纯债型基金
000065.OF,国富焦点驱动灵活配置,20130507,20130408,,1,国海富兰克林基金,2.00E+15,20130507,,开放式,20130507,,混合型基金,灵活配置型基金
000066.OF,诺安鸿鑫,20130503,20130408,,1,诺安基金,2.00E+15,20190618,,开放式,20130503,,混合型基金,偏股混合型基金
000066.OF,诺安鸿鑫,20130503,20130408,,1,诺安基金,2.00E+15,20130503,20190617,开放式,20130503,,混合型基金,偏债混合型基金
000067.OF,民生加银转债优选A,20130418,20130325,,1,民生加银基金,2.00E+15,20130418,,开放式,20130418,,债券型基金,混合债券型二级基金
000068.OF,民生加银转债优选C,20130418,20130325,,0,民生加银基金,2.00E+15,20130418,,开放式,20130418,,债券型基金,混合债券型二级基金
000069.OF,国投瑞银中高等级A,20130514,20130415,,1,国投瑞银基金,2.00E+15,20130514,,开放式,20130514,,债券型基金,中长期纯债型基金
000070.OF,国投瑞银中高等级C,20130514,20130415,,0,国投瑞银基金,2.00E+15,20130514,,开放式,20130514,,债券型基金,中长期纯债型基金
000071.OF,华夏恒生ETF联接A(人民币),20120821,20120718,,1,华夏基金,2.00E+15,20120821,,开放式,20120821,,国际(QDII)基金,国际(QDII)股票型基金
000072.OF,华安稳健回报,20130514,20130411,,1,华安基金,2.00E+15,20190628,,开放式,20130514,,混合型基金,灵活配置型基金
000072.OF,华安稳健回报,20130514,20130411,,1,华安基金,2.00E+15,20130514,20190627,开放式,20130514,,混合型基金,偏债混合型基金
000073.OF,上投摩根成长动力,20130515,20130415,,1,上投摩根基金,2.00E+15,20130515,,开放式,20130515,,混合型基金,灵活配置型基金
000074.OF,工银信用纯债一年A,20130522,20130422,,1,工银瑞信基金,2.00E+15,20130522,,开放式,20130522,,债券型基金,中长期纯债型基金
000075.OF,华夏恒生ETF联接A(美元现汇),20120821,20120718,,0,华夏基金,2.00E+15,20120821,,开放式,20120821,,国际(QDII)基金,国际(QDII)股票型基金
000076.OF,华夏恒生ETF联接A(美元现钞),20120821,20120718,,0,华夏基金,2.00E+15,20120821,,开放式,20120821,,国际(QDII)基金,国际(QDII)股票型基金
000077.OF,工银信用纯债一年C,20130522,20130422,,0,工银瑞信基金,2.00E+15,20130522,,开放式,20130522,,债券型基金,中长期纯债型基金
000078.OF,工银信用纯债两年A,20130624,20130527,,1,工银瑞信基金,2.00E+15,20130624,,开放式,20130624,,债券型基金,中长期纯债型基金
000079.OF,工银信用纯债两年C,20130624,20130527,,0,工银瑞信基金,2.00E+15,20130624,,开放式,20130624,,债券型基金,中长期纯债型基金
000080.OF,天治可转债增强A,20130604,20130502,,1,天治基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,混合债券型二级基金
000081.OF,天治可转债增强C,20130604,20130502,,0,天治基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,混合债券型二级基金
000082.OF,嘉实研究阿尔法,20130528,20130502,,1,嘉实基金,2.00E+15,20130528,,开放式,20130528,,股票型基金,普通股票型基金
000083.OF,汇添富消费行业,20130503,20130408,,1,汇添富基金,2.00E+15,20130503,20150804,开放式,20130503,,股票型基金,普通股票型基金
000083.OF,汇添富消费行业,20130503,20130408,,1,汇添富基金,2.00E+15,20150805,,开放式,20130503,,混合型基金,偏股混合型基金
000084.OF,博时安盈A,20130423,20130401,,1,博时基金,2.00E+15,20130423,,开放式,20130423,,债券型基金,短期纯债型基金
000085.OF,博时安盈C,20130423,20130401,,0,博时基金,2.00E+15,20130423,,开放式,20130423,,债券型基金,短期纯债型基金
000086.OF,南方稳利1年A,20130723,20130701,,1,南方基金,2.00E+15,20130723,,开放式,20130723,,债券型基金,中长期纯债型基金
000087.OF,嘉实中期国债ETF联接A,20130510,20130408,,1,嘉实基金,2.00E+15,20130510,,开放式,20130510,,债券型基金,被动指数型债券基金
000088.OF,嘉实中期国债ETF联接C,20130510,20130408,,0,嘉实基金,2.00E+15,20130510,,开放式,20130510,,债券型基金,被动指数型债券基金
000089.OF,民生加银家盈月度A,20130425,20130417,,1,民生加银基金,2.00E+15,20130425,,开放式,20130425,,货币市场型基金,货币市场型基金
000090.OF,民生加银家盈月度B,20130425,20130417,,0,民生加银基金,2.00E+15,20130425,,开放式,20130425,,货币市场型基金,货币市场型基金
000091.OF,信诚新双盈,20130509,20130422,,0,中信保诚基金,2.00E+15,20130509,,开放式,20130509,,债券型基金,中长期纯债型基金
000092.OF,信诚新双盈A,20130509,20130503,,1,中信保诚基金,2.00E+15,20130509,,开放式,20130509,,债券型基金,中长期纯债型基金
000093.OF,信诚新双盈B,20130509,20130422,,0,中信保诚基金,2.00E+15,20130509,,开放式,20130509,,债券型基金,中长期纯债型基金
000103.OF,国泰境外高收益,20130426,20130410,,1,国泰基金,2.00E+15,20130426,,开放式,20130426,,国际(QDII)基金,国际(QDII)债券型基金
000104.OF,华宸未来稳健添利A,20130820,20130725,,1,华宸未来基金,2.00E+15,20130820,,开放式,20130820,,债券型基金,中长期纯债型基金
000105.OF,建信安心回报A,20130514,20130415,,1,建信基金,2.00E+15,20130514,,开放式,20130514,,债券型基金,中长期纯债型基金
000106.OF,建信安心回报C,20130514,20130415,,0,建信基金,2.00E+15,20130514,,开放式,20130514,,债券型基金,中长期纯债型基金
000107.OF,富国稳健增强AB,20130521,20130422,,1,富国基金,2.00E+15,20130521,,开放式,20130521,,债券型基金,混合债券型二级基金
000109.OF,富国稳健增强C,20130521,20130422,,0,富国基金,2.00E+15,20130521,,开放式,20130521,,债券型基金,混合债券型二级基金
000110.OF,金鹰元安A,20130520,20130415,,1,金鹰基金,2.00E+15,20130520,,开放式,20130520,,混合型基金,偏债混合型基金
000111.OF,易方达纯债1年A,20130730,20130708,,1,易方达基金,2.00E+15,20130730,,开放式,20130730,,债券型基金,中长期纯债型基金
000112.OF,易方达纯债1年C,20130730,20130708,,0,易方达基金,2.00E+15,20130730,,开放式,20130730,,债券型基金,中长期纯债型基金
000113.OF,嘉实如意宝AB,20130604,20130513,,1,嘉实基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,中长期纯债型基金
000115.OF,嘉实如意宝C,20130604,20130513,,0,嘉实基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,中长期纯债型基金
000116.OF,嘉实丰益纯债,20130521,20130417,,1,嘉实基金,2.00E+15,20130521,,开放式,20130521,,债券型基金,中长期纯债型基金
000117.OF,广发轮动配置,20130528,20130426,,1,广发基金,2.00E+15,20130528,20150806,开放式,20130528,,股票型基金,普通股票型基金
000117.OF,广发轮动配置,20130528,20130426,,1,广发基金,2.00E+15,20150807,,开放式,20130528,,混合型基金,偏股混合型基金
000118.OF,广发聚鑫A,20130605,20130506,,1,广发基金,2.00E+15,20130605,,开放式,20130605,,债券型基金,混合债券型二级基金
000119.OF,广发聚鑫C,20130605,20130506,,0,广发基金,2.00E+15,20130605,,开放式,20130605,,债券型基金,混合债券型二级基金
000120.OF,中银美丽中国,20130607,20130513,,1,中银基金,2.00E+15,20150807,,开放式,20130607,,混合型基金,偏股混合型基金
000120.OF,中银美丽中国,20130607,20130513,,1,中银基金,2.00E+15,20130607,20150806,开放式,20130607,,股票型基金,普通股票型基金
000121.OF,华夏永福A,20130813,20130718,,1,华夏基金,2.00E+15,20130813,,开放式,20130813,,混合型基金,偏债混合型基金
000122.OF,汇添富实业债A,20130614,20130520,,1,汇添富基金,2.00E+15,20130614,,开放式,20130614,,债券型基金,中长期纯债型基金
000123.OF,汇添富实业债C,20130614,20130520,,0,汇添富基金,2.00E+15,20130614,,开放式,20130614,,债券型基金,中长期纯债型基金
000124.OF,华宝服务优选,20130627,20130603,,1,华宝基金,2.00E+15,20150722,,开放式,20130627,,混合型基金,偏股混合型基金
000124.OF,华宝服务优选,20130627,20130603,,1,华宝基金,2.00E+15,20130627,20150721,开放式,20130627,,股票型基金,普通股票型基金
000125.OF,上投摩根天颐年丰A,20130718,20130617,20181122,1,上投摩根基金,2.00E+15,20130718,20181122,开放式,20130718,20181122,混合型基金,偏债混合型基金
000126.OF,招商安润,20130419,20130416,,1,招商基金,2.00E+15,20190514,,开放式,20130419,,混合型基金,灵活配置型基金
000126.OF,招商安润,20130419,20130416,,1,招商基金,2.00E+15,20130419,20190513,开放式,20130419,,混合型基金,偏债混合型基金
000127.OF,农银汇理行业领先,20130625,20130603,,1,农银汇理基金,2.00E+15,20130625,20150806,开放式,20130625,,股票型基金,普通股票型基金
000127.OF,农银汇理行业领先,20130625,20130603,,1,农银汇理基金,2.00E+15,20150807,,开放式,20130625,,混合型基金,偏股混合型基金
000128.OF,大成景安短融A,20130524,20130502,,1,大成基金,2.00E+15,20130524,,开放式,20130524,,债券型基金,短期纯债型基金
000129.OF,大成景安短融B,20130524,20130502,,0,大成基金,2.00E+15,20130524,,开放式,20130524,,债券型基金,短期纯债型基金
000130.OF,大成景兴信用债A,20130604,20130513,,1,大成基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,混合债券型一级基金
000131.OF,大成景兴信用债C,20130604,20130513,,0,大成基金,2.00E+15,20130604,,开放式,20130604,,债券型基金,混合债券型一级基金
000132.OF,中银理财21天A,20131219,20131206,20160718,1,中银基金,2.00E+15,20131219,20160718,开放式,20131219,20160718,货币市场型基金,货币市场型基金
000133.OF,中银理财21天B,20131219,20131206,20160718,0,中银基金,2.00E+15,20131219,20160718,开放式,20131219,20160718,货币市场型基金,货币市场型基金
000134.OF,信诚理财28日盈A,20170525,20170516,,1,中信保诚基金,2.00E+15,20170525,,开放式,20170525,,货币市场型基金,货币市场型基金
000135.OF,信诚理财28日盈B,20170525,20170516,,0,中信保诚基金,2.00E+15,20170525,,开放式,20170525,,货币市场型基金,货币市场型基金
000136.OF,民生加银策略精选,20130607,20130509,,1,民生加银基金,2.00E+15,20130607,,开放式,20130607,,混合型基金,灵活配置型基金
000137.OF,民生加银岁岁增利A,20130801,20130701,,1,民生加银基金,2.00E+15,20130801,,开放式,20130801,,债券型基金,中长期纯债型基金
000138.OF,民生加银岁岁增利C,20130801,20130701,,0,民生加银基金,2.00E+15,20130801,,开放式,20130801,,债券型基金,中长期纯债型基金
000139.OF,富国国有企业债AB,20130925,20130826,,1,富国基金,2.00E+15,20130925,,开放式,20130925,,债券型基金,中长期纯债型基金
000141.OF,富国国有企业债C,20130925,20130826,,0,富国基金,2.00E+15,20130925,,开放式,20130925,,债券型基金,中长期纯债型基金
000142.OF,融通增强收益A,20130530,20130508,,1,融通基金,2.00E+15,20190716,,开放式,20130530,,债券型基金,混合债券型二级基金
000142.OF,融通增强收益A,20130530,20130508,,1,融通基金,2.00E+15,20130530,20190715,开放式,20130530,,混合型基金,偏债混合型基金
000143.OF,鹏华双债加利,20130527,20130510,,1,鹏华基金,2.00E+15,20130527,,开放式,20130527,,债券型基金,混合债券型二级基金
000145.OF,长盛季季红1年期A,20130614,20130515,20150727,1,长盛基金,2.00E+15,20130614,20150727,开放式,20130614,20150727,债券型基金,中长期纯债型基金
000146.OF,长盛季季红1年期C,20130614,20130515,20150727,0,长盛基金,2.00E+15,20130614,20150727,开放式,20130614,20150727,债券型基金,中长期纯债型基金
000147.OF,易方达高等级信用债A,20130823,20130801,,1,易方达基金,2.00E+15,20130823,,开放式,20130823,,债券型基金,中长期纯债型基金
000148.OF,易方达高等级信用债C,20130823,20130801,,0,易方达基金,2.00E+15,20130823,,开放式,20130823,,债券型基金,中长期纯债型基金
000149.OF,华安双债添利A,20130614,20130513,,1,华安基金,2.00E+15,20130614,,开放式,20130614,,债券型基金,中长期纯债型基金
000150.OF,华安双债添利C,20130614,20130513,,0,华安基金,2.00E+15,20130614,,开放式,20130614,,债券型基金,中长期纯债型基金
000151.OF,诺安信用债,20130618,20130510,20180820,1,诺安基金,2.00E+15,20130618,20180820,开放式,20130618,20180820,债券型基金,中长期纯债型基金
000152.OF,大成景旭纯债A,20130723,20130628,,1,大成基金,2.00E+15,20130723,,开放式,20130723,,债券型基金,中长期纯债型基金
000153.OF,大成景旭纯债C,20130723,20130628,,0,大成基金,2.00E+15,20130723,,开放式,20130723,,债券型基金,中长期纯债型基金
000165.OF,国投瑞银策略精选,20130927,20130909,,1,国投瑞银基金,2.00E+15,20130927,,开放式,20130927,,混合型基金,灵活配置型基金
000166!1.OF,中海安鑫保本,20130731,20130702,20170915,1,中海基金,2.00E+15,20130731,20170915,开放式,20130731,20170915,混合型基金,偏债混合型基金
000166.OF,中海信息产业精选,20170916,20170916,,1,中海基金,2.00E+15,20190515,,开放式,20170916,,混合型基金,偏股混合型基金
000166.OF,中海信息产业精选,20170916,20170916,,1,中海基金,2.00E+15,20170916,20190514,开放式,20170916,,混合型基金,灵活配置型基金
000167.OF,广发聚优A,20130911,20130812,,1,广发基金,2.00E+15,20130911,,开放式,20130911,,混合型基金,灵活配置型基金
000169!1.OF,泰达宏利高票息A,20130614,20130520,20150908,1,泰达宏利基金,2.00E+15,20130614,20150908,开放式,20130614,20150908,债券型基金,中长期纯债型基金
000169.OF,泰达宏利收益增强A,20150909,20150909,20171011,1,泰达宏利基金,2.00E+15,20150909,20171011,开放式,20150909,20171011,债券型基金,混合债券型二级基金
000170!1.OF,泰达宏利高票息B,20130614,20130520,20150908,0,泰达宏利基金,2.00E+15,20130614,20150908,开放式,20130614,20150908,债券型基金,中长期纯债型基金
000170.OF,泰达宏利收益增强B,20150909,20150909,20171011,0,泰达宏利基金,2.00E+15,20150909,20171011,开放式,20150909,20171011,债券型基金,混合债券型二级基金
000171.OF,易方达裕丰回报,20130823,20130808,,1,易方达基金,2.00E+15,20130823,,开放式,20130823,,债券型基金,混合债券型二级基金
000172.OF,华泰柏瑞量化增强A,20130802,20130619,,1,华泰柏瑞基金,2.00E+15,20130802,20150805,开放式,20130802,,股票型基金,普通股票型基金
000172.OF,华泰柏瑞量化增强A,20130802,20130619,,1,华泰柏瑞基金,2.00E+15,20150806,,开放式,20130802,,混合型基金,偏股混合型基金
000173.OF,汇添富美丽30,20130625,20130527,,1,汇添富基金,2.00E+15,20150805,,开放式,20130625,,混合型基金,偏股混合型基金
000173.OF,汇添富美丽30,20130625,20130527,,1,汇添富基金,2.00E+15,20130625,20150804,开放式,20130625,,股票型基金,普通股票型基金
000174.OF,汇添富高息债A,20130627,20130527,,1,汇添富基金,2.00E+15,20130627,,开放式,20130627,,债券型基金,中长期纯债型基金
000175.OF,汇添富高息债C,20130627,20130527,,0,汇添富基金,2.00E+15,20130627,,开放式,20130627,,债券型基金,中长期纯债型基金
000176.OF,嘉实沪深300增强,20141226,20141204,,1,嘉实基金,2.00E+15,20141226,,开放式,20141226,,股票型基金,增强指数型基金
000177.OF,嘉实丰益信用A,20130821,20130725,20181226,1,嘉实基金,2.00E+15,20130821,20181226,开放式,20130821,20181226,债券型基金,中长期纯债型基金
000178.OF,博时灵活配置A,20131108,20131009,20180122,1,博时基金,2.00E+15,20131108,20180122,开放式,20131108,20180122,混合型基金,灵活配置型基金
000179.OF,广发美国房地产人民币,20130809,20130708,,1,广发基金,2.00E+15,20130809,,开放式,20130809,,国际(QDII)基金,国际(QDII)另类投资基金
000180.OF,广发美国房地产美元,20130809,20130708,,0,广发基金,2.00E+15,20130809,,开放式,20130809,,国际(QDII)基金,国际(QDII)另类投资基金
000181.OF,景顺长城四季金利A,20130730,20130701,,1,景顺长城基金,2.00E+15,20130730,20150609,开放式,20130730,,债券型基金,中长期纯债型基金
000181.OF,景顺长城四季金利A,20130730,20130701,,1,景顺长城基金,2.00E+15,20150610,,开放式,20130730,,债券型基金,混合债券型二级基金
000182.OF,景顺长城四季金利C,20130730,20130701,,0,景顺长城基金,2.00E+15,20130730,20150609,开放式,20130730,,债券型基金,中长期纯债型基金
000182.OF,景顺长城四季金利C,20130730,20130701,,0,景顺长城基金,2.00E+15,20150610,,开放式,20130730,,债券型基金,混合债券型二级基金
000183.OF,嘉实丰益策略,20130730,20130704,,1,嘉实基金,2.00E+15,20130730,,开放式,20130730,,债券型基金,中长期纯债型基金
000184.OF,工银瑞信添福A,20131031,20131008,,1,工银瑞信基金,2.00E+15,20131031,,开放式,20131031,,债券型基金,混合债券型二级基金
000185.OF,工银瑞信添福B,20131031,20131008,,0,工银瑞信基金,2.00E+15,20131031,,开放式,20131031,,债券型基金,混合债券型二级基金
000186.OF,华泰柏瑞季季红,20131113,20131021,,1,华泰柏瑞基金,2.00E+15,20131113,,开放式,20131113,,债券型基金,混合债券型一级基金
000187.OF,华泰柏瑞丰盛纯债A,20130902,20130808,,1,华泰柏瑞基金,2.00E+15,20130902,,开放式,20130902,,债券型基金,中长期纯债型基金
000188.OF,华泰柏瑞丰盛纯债C,20130902,20130808,,0,华泰柏瑞基金,2.00E+15,20130902,,开放式,20130902,,债券型基金,中长期纯债型基金
000189.OF,易方达丰华A,20160113,20160111,,1,易方达基金,2.00E+15,20190219,,开放式,20160113,,债券型基金,混合债券型二级基金
000189.OF,易方达丰华A,20160113,20160111,,1,易方达基金,2.00E+15,20160113,20190218,开放式,20160113,,混合型基金,偏债混合型基金
000190!1.OF,中银保本二号,20130910,20130807,20150716,1,中银基金,2.00E+15,20130910,20150716,开放式,20130910,20150716,混合型基金,偏债混合型基金
000190.OF,中银新回报,20150717,20150717,,1,中银基金,2.00E+15,20150717,,开放式,20150717,,混合型基金,灵活配置型基金
000191.OF,富国信用债A,20130625,20130529,,1,富国基金,2.00E+15,20130625,,开放式,20130625,,债券型基金,中长期纯债型基金
000192.OF,富国信用债C,20130625,20130529,,0,富国基金,2.00E+15,20130625,,开放式,20130625,,债券型基金,中长期纯债型基金
000193.OF,国泰美国房地产开发,20130807,20130613,20171219,1,国泰基金,2.00E+15,20130807,20171219,开放式,20130807,20171219,国际(QDII)基金,国际(QDII)股票型基金
000194.OF,银华信用四季红A,20130807,20130715,,1,银华基金,2.00E+15,20130807,,开放式,20130807,,债券型基金,中长期纯债型基金
