fund,offer,redeem,inv1,inv2
008120.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 30, 180, 365, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008121.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008122.OF,"[[100.0, 500.0, inf], [0.004, 0.002, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008123.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008124.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008125.OF,"[[[100.0, 500.0, inf], [0.005, 0.003, 1000.0]], [[100.0, 500.0, inf], [0.0005, 0.0003, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008126.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
008127.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008128.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 30, 365, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008129.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008130.OF,"[[100.0, 300.0, 500.0, inf], [0.006, 0.003, 0.0008, 1000.0]]","[[7, 1980, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
008132.OF,"[[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]], [[100.0, 500.0, inf], [0.006, 0.003, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
008133.OF,"[[[300.0, 500.0, inf], [0.012, 0.008, 1000.0]], [[inf], [100.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
