fund,offer,redeem,inv1,inv2
000001.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000003.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.006, 0.002, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0032, 0.0018, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000004.OF,"[[inf], [0.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000005.OF,"[[[100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0008, 0.0006, 0.0004, 1000.0]]]","[[7, 90, 180, 270, inf], [0.015, 0.003, 0.002, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000006.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.006, 1000.0]]","[[7, 30, 180, 360, inf], [0.015, 0.0075, 0.005, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000007.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000008.OF,"[[[50.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0012, 0.0008, 0.0004, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000009.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000010.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000011.OF,"[[100.0, 500.0, inf], [0.015, 0.012, 0.01]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000013.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000014.OF,"[[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0012, 0.0008, 0.0004, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.005, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000015.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0016, 0.0012, 0.0008, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000016.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000017.OF,"[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000020.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000021.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000022.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000023.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000024.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.002, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000025.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000026.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000027.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000028.OF,"[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]]","[[365, 7, 180, inf], [0.001, 0.015, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000029.OF,"[[[100.0, 500.0, inf], [0.015, 0.012, 1000.0]], [[100.0, 500.0, inf], [0.0015, 0.0012, 1000.0]]]","[[7, 730, 1095, inf], [0.015, 0.006, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000030.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.003, 0.002, 0.001, 1000.0]]]","[[7, 30, 185, 365, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000031.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000032.OF,"[[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0032, 0.002, 0.0012, 1000.0]]]","[[6, 29, 364, 729, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000033.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000037!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000037.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.006, 0.003, 1000.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000038.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000039.OF,"[[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0015, 0.001, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000041.OF,"[[100.0, 500.0, 1000.0, inf], [0.016, 0.013, 0.009, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000042.OF,"[[100.0, 200.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000043.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0015, 0.0012, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000044.OF,"[[50.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000045.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.0032, 0.0015, 0.0006, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000046.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000047.OF,"[[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0016, 0.0012, 0.0008, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000048.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000049.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.01, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000050.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000051.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.009, 0.006, 1000.0]]","[[7, 365, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000052.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000053.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000054.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000055.OF,"[[20.0, 100.0, 200.0, inf], [0.013, 0.007, 0.002, 200.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000056.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000057.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000058.OF,"[[100.0, 300.0, 500.0, inf], [0.01, 0.008, 0.004, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000059.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.007, 0.002, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000060.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000061.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.012, 0.008, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000062.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000063.OF,"[[[50.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]], [[50.0, 200.0, 500.0, inf], [0.0045, 0.003, 0.0015, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000064.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000065.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000066.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000067.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000068.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000069.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0016, 1000.0]]]","[[7, 30, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000070.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000071.OF,"[[100.0, 500.0, 1000.0, inf], [0.012, 0.009, 0.006, 1000.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000072.OF,"[[[inf], [500.0]], [[100.0, 300.0, 500.0, inf], [0.015, 0.012, 0.008, 1000.0]]]","[[7, 30, 180, 360, inf], [0.015, 0.0075, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000073.OF,"[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]]","[[7, 365, 730, 1095, inf], [0.015, 0.005, 0.0035, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000074.OF,"[[100.0, 500.0, 1000.0, inf], [0.006, 0.003, 0.001, 1000.0]]","[[7, 365, inf], [0.015, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
000075.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000076.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.005]]",['普通投资群体'],['普通投资群体']
000077.OF,"[[inf], [0.0]]","[[7, 365, inf], [0.015, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
000078.OF,"[[100.0, 500.0, 1000.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, 730, inf], [0.015, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
000079.OF,"[[inf], [0.0]]","[[7, 730, inf], [0.015, 0.01, 0.0]]",['普通投资群体'],['普通投资群体']
000080.OF,"[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000081.OF,"[[inf], [0.0]]","[[7, 60, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000082.OF,"[[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0015, 0.001, 0.0006, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000083.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000084.OF,"[[100.0, 500.0, 1000.0, inf], [0.003, 0.0015, 0.001, 1000.0]]","[[7, 365, 180, inf], [0.015, 0.0005, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000085.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000086.OF,"[[[100.0, 500.0, 1000.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.0006, 0.0004, 0.0002, 100.0]]]","[[0, 7, inf], [0.02, 0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000087.OF,"[[50.0, 100.0, 200.0, 500.0, inf], [0.005, 0.004, 0.003, 0.002, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000088.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000089.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000090.OF,"[[inf], [0.0]]","[[inf], [0.0]]",['普通投资群体'],['普通投资群体']
000091.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000092.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000093.OF,"[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000103.OF,"[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]]","[[7, 180, inf], [0.015, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000104.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000105.OF,"[[100.0, 300.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, 30, 730, inf], [0.015, 0.005, 0.002, 0.0]]",['普通投资群体'],['普通投资群体']
000106.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000107.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000109.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000110.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.006, 0.004, 1000.0]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]",['普通投资群体'],['普通投资群体']
000111.OF,"[[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0006, 0.0004, 0.0002, 1000.0]]]","[[0, 6, inf], [0.015, 0.015, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000112.OF,"[[inf], [0.0]]","[[0, 6, inf], [0.015, 0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000113.OF,"[[[100.0, 300.0, 500.0, inf], [0.005, 0.003, 0.0008, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.002, 0.0012, 0.0003, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000115.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000116.OF,"[[[50.0, 100.0, 300.0, 500.0, inf], [0.006, 0.005, 0.004, 0.002, 1000.0]], [[50.0, 100.0, 300.0, 500.0, inf], [0.0024, 0.002, 0.0016, 0.0008, 1000.0]]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000117.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.009, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.006, 0.0036, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000118.OF,"[[[100.0, 500.0, 1000.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.0032, 0.002, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000119.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000120.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.006, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000121.OF,"[[[50.0, 200.0, 500.0, 1000.0, inf], [0.008, 0.006, 0.004, 0.002, 1000.0]], [[50.0, 200.0, 500.0, 1000.0, inf], [0.0016, 0.0012, 0.0008, 0.0004, 1000.0]]]","[[7, 90, inf], [0.015, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000122.OF,"[[[100.0, 500.0, 1000.0, inf], [0.01, 0.008, 0.006, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.004, 0.0032, 0.0024, 1000.0]]]","[[7, 30, inf], [0.015, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000123.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000124.OF,"[[50.0, 100.0, 200.0, 500.0, inf], [0.015, 0.012, 0.01, 0.005, 1000.0]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000125.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000126.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.008, 0.006, 1000.0]]","[[365, 730, 1095, inf], [0.02, 0.016, 0.012, 0.0]]",['普通投资群体'],['普通投资群体']
000127.OF,"[[[50.0, 100.0, 500.0, inf], [0.015, 0.01, 0.008, 1000.0]], [[50.0, 100.0, 500.0, inf], [0.0015, 0.001, 0.0008, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000128.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000129.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000130.OF,"[[50.0, 200.0, 500.0, inf], [0.008, 0.006, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000131.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000132.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000133.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000134.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000135.OF,"[[inf], [0.0]]","[[7, inf], [0.015, 0.0]]",['普通投资群体'],['普通投资群体']
000136.OF,"[[100.0, 200.0, 500.0, inf], [0.015, 0.01, 0.005, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.006, 0.003, 0.0]]",['普通投资群体'],['普通投资群体']
000137.OF,"[[100.0, 200.0, 500.0, inf], [0.006, 0.004, 0.002, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.009, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000138.OF,"[[inf], [0.0]]","[[7, 365, inf], [0.015, 0.009, 0.0]]",['普通投资群体'],['普通投资群体']
000139.OF,"[[[100.0, 500.0, inf], [0.008, 0.005, 1000.0]], [[100.0, 500.0, inf], [0.0008, 0.0005, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000141.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000142.OF,"[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000143.OF,"[[[100.0, 500.0, inf], [0.008, 0.004, 1000.0]], [[100.0, 500.0, inf], [0.0032, 0.0012, 1000.0]]]","[[7, 30, 90, 180, 360, inf], [0.015, 0.0075, 0.005, 0.003, 0.001, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000145.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000146.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000147.OF,"[[[100.0, 200.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.0008, 0.0005, 0.0003, 1000.0]]]","[[6, 29, 364, 729, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000148.OF,"[[inf], [0.0]]","[[6, 29, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000149.OF,"[[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]], [[inf], [500.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000150.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.0075, 0.0]]",['普通投资群体'],['普通投资群体']
000151.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000152.OF,"[[100.0, 300.0, 500.0, inf], [0.008, 0.005, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]",['普通投资群体'],['普通投资群体']
000153.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000165.OF,"[[100.0, 500.0, inf], [0.015, 0.01, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000166!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000166.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.01, 0.006, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.006, 0.003, 0.0012, 1000.0]]]","[[7, 30, 180, inf], [0.015, 0.0075, 0.005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000167.OF,"[[[100.0, 300.0, 500.0, inf], [0.015, 0.009, 0.003, 1000.0]], [[100.0, 300.0, 500.0, inf], [0.006, 0.0036, 0.0012, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.005, 0.003, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000169!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000169.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000170!1.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000170.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000171.OF,"[[[100.0, 200.0, 500.0, inf], [0.01, 0.008, 0.004, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.001, 0.0008, 0.0004, 1000.0]]]","[[6, 29, 364, 729, 1094, inf], [0.015, 0.0075, 0.001, 0.0008, 0.0006, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000172.OF,"[[100.0, 300.0, 500.0, inf], [0.012, 0.008, 0.004, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000173.OF,"[[100.0, 500.0, 1000.0, inf], [0.015, 0.01, 0.003, 1000.0]]","[[7, 365, 730, inf], [0.015, 0.005, 0.0025, 0.0]]",['普通投资群体'],['普通投资群体']
000174.OF,"[[[100.0, 500.0, 1000.0, inf], [0.01, 0.008, 0.006, 1000.0]], [[100.0, 500.0, 1000.0, inf], [0.004, 0.0032, 0.0024, 1000.0]]]","[[7, 365, 730, inf], [0.015, 0.001, 0.0005, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000175.OF,"[[inf], [0.0]]","[[7, 30, inf], [0.015, 0.001, 0.0]]",['普通投资群体'],['普通投资群体']
000176.OF,"[[[100.0, 200.0, 500.0, inf], [0.01, 0.006, 0.002, 1000.0]], [[100.0, 200.0, 500.0, inf], [0.001, 0.0006, 0.0002, 1000.0]]]","[[7, 30, 365, 730, inf], [0.015, 0.0075, 0.005, 0.0025, 0.0]]","['普通投资群体', '养老金账户']",['普通投资群体']
000177.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
000178.OF,"[[inf], [0.0]]","[[inf], [0]]",['普通投资群体'],['普通投资群体']
